15	329469
50010	762337
50010	762338
50010	762339
50010	762340
50010	762341
50010	762342
50010	762344
50010	762345
50010	762346
50050	762708
50050	762710
50050	762716
50088	763067
50088	763069
50088	763072
50088	763074
50088	763075
50070	762893
50070	762897
50070	762901
96	5454
96	306796
50089	763077
50089	763078
50089	763079
50089	763080
50089	763081
50089	763082
50089	763083
50089	763084
50089	763085
50046	762672
50046	762673
50046	762674
50046	762676
50046	762681
41	480373
41	27908
41	316882
41	591691
50023	762459
50023	762460
50023	762462
50023	762465
50023	762466
50023	762467
93	884
93	529089
93	534119
93	152
93	52430
93	235582
93	318837
93	337731
93	479775
93	485021
93	485022
93	485023
93	489476
93	489477
93	529086
93	529087
93	529088
93	534121
93	534122
93	683149
93	683150
93	683155
93	683157
46	70
46	72
46	126327
46	249601
46	648295
55	74366
55	254311
55	446429
50098	763161
50098	763162
50098	763163
50098	763164
50098	763165
50098	763166
50098	763167
50076	762950
50076	762951
50076	762952
50076	762953
50076	762954
50076	762957
50076	762958
53	348465
53	426466
53	539504
53	702000
53	712594
53	80
53	81
53	253684
53	253685
53	259282
53	426467
53	452738
53	539503
53	571388
53	678884
53	713104
74	465139
74	596717
74	716842
74	113
74	235689
74	459904
74	666215
84	664404
84	131
84	415427
84	435952
84	539147
84	711438
84	711440
83	135
83	140
83	73350
83	746938
83	129
83	130
83	134
83	136
83	137
83	138
83	139
83	141
83	38541
83	711449
83	713556
83	713557
20	533995
20	79465
20	96600
20	465572
20	571293
50085	763037
50085	763038
50085	763039
50085	763041
50085	763042
50085	763043
50085	763044
50085	763045
99	80232
99	274581
99	289228
99	756068
99	159
99	82498
99	238570
99	515949
99	530616
99	571473
99	571474
99	571475
99	571478
99	571479
99	571480
99	722879
50052	762726
50052	762727
50052	762728
50052	762729
50052	762730
50052	762731
50052	762734
50087	763057
50087	763058
50087	763059
50087	763060
50087	763061
50087	763063
50087	763064
50087	763065
79	120
79	88746
79	171461
50094	763131
50094	763132
50094	763133
27	315537
27	506980
27	45
27	143329
27	281474
27	359039
27	586495
27	635977
27	643159
27	757083
27	757084
14	25
14	434103
14	680417
14	730676
14	24
14	153251
14	203391
61	50994
61	349251
35	249615
35	254958
35	352008
35	441868
29	169593
29	47
29	280734
29	612658
50021	762439
50021	762440
50021	762442
50021	762443
50021	762444
50021	762447
50021	762448
72	111
38	165270
38	365117
3	359007
3	359008
3	387910
3	478972
69	171446
69	251527
69	268802
69	279253
69	121245
69	505257
69	710862
50062	762820
50062	762823
50062	762825
50062	762826
50062	762827
50062	762828
50016	762397
50016	762400
50018	762417
50007	762307
50007	762308
50007	762309
50007	762310
50007	762312
50020	762429
50020	762430
50020	762431
50020	762432
50020	762434
50020	762436
50020	762437
50020	762438
9	14
9	125859
9	224239
9	387956
9	446498
8	176947
8	287650
8	287657
8	347373
8	379925
8	488453
8	571278
8	571280
8	633058
8	701253
50015	762387
50015	762389
50015	762390
50015	762393
50015	762394
50048	762688
50048	762689
50048	762691
50048	762692
50048	762693
50048	762694
50048	762695
50048	762696
50048	762697
50059	762791
50059	762797
50059	762799
50059	762800
13	124527
13	574422
13	695991
82	19986
82	291164
82	569436
30	280156
30	53
30	169362
30	464483
30	699905
30	754558
30	755743
73	719664
73	112
73	271658
73	591739
21	298584
21	32
21	7938
21	7939
21	132955
21	280772
21	280786
21	419809
21	422865
21	422871
21	603235
60	153794
60	171419
60	171420
60	408323
88	144367
88	735056
50	66863
50	625199
50	711380
50038	762596
50038	762597
50038	762598
50038	762599
50038	762600
50038	762601
50038	762602
50038	762603
50057	762780
50081	762998
50081	762999
50081	763001
50081	763004
50081	763005
50081	763007
50084	763028
50084	763029
50084	763031
50084	763034
50084	763035
50084	763036
97	118755
97	208764
97	481673
97	568212
36	408989
4	6
4	375694
4	5
4	7
4	38386
4	122990
4	122991
4	203285
4	209499
4	295142
4	295143
4	387323
4	387324
4	387325
4	387327
4	387329
4	387330
4	713250
28	278953
28	465034
28	560330
56	37791
56	171414
56	286762
56	171413
56	286763
56	286764
56	558187
56	571356
56	571357
56	674553
56	749501
50090	763086
50090	763087
50090	763088
50090	763089
50090	763090
50090	763091
50090	763092
50090	763093
50027	762497
50027	762500
50027	762502
50093	763114
50093	763115
50093	763116
50093	763117
50093	763118
50042	762633
50042	762634
